candidate_id,department,source,apply_date,apply_month,apply_quarter,final_stage,hired,offer_made,rejection_reason,time_to_hire_days,time_to_offer_days,years_experience,expected_salary_lpa
1001,Sales,Instahyre,2024-11-23,November 2024,Q4 2024,Interview Round 1,0,0,Withdrew,,,1.5,11.3
1002,Operations,Employee Referral,2024-01-16,January 2024,Q1 2024,Hired,1,1,N/A,44.0,42.0,2.3,11.3
1003,Engineering,LinkedIn,2024-05-22,May 2024,Q2 2024,Hired,1,1,N/A,38.0,28.0,11.1,5.0
1004,Engineering,Campus Drive,2024-05-30,May 2024,Q2 2024,Applied,0,0,Skills mismatch,,,1.0,7.7
1005,Operations,Employee Referral,2024-05-28,May 2024,Q2 2024,Applied,0,0,Skills mismatch,,,4.9,11.9
1006,Engineering,Instahyre,2024-07-05,July 2024,Q3 2024,Screened,0,0,Skills mismatch,,,7.5,6.7
1007,Marketing,LinkedIn,2024-05-05,May 2024,Q2 2024,Screened,0,0,Withdrew,,,3.0,9.5
1008,Engineering,LinkedIn,2024-01-29,January 2024,Q1 2024,Applied,0,0,Better candidate selected,,,5.1,4.7
1009,Sales,Naukri,2024-10-17,October 2024,Q4 2024,Offer Made,0,1,No show,,39.0,4.7,22.0
1010,Sales,LinkedIn,2024-03-11,March 2024,Q1 2024,Screened,0,0,Salary expectation,,,7.7,18.2
1011,Operations,LinkedIn,2024-08-04,August 2024,Q3 2024,Interview Round 1,0,0,Skills mismatch,,,8.3,5.6
1012,Engineering,Naukri,2024-10-01,October 2024,Q4 2024,Applied,0,0,Better candidate selected,,,1.8,11.5
1013,Sales,Company Website,2024-08-20,August 2024,Q3 2024,Applied,0,0,Better candidate selected,,,11.7,17.6
1014,Engineering,Naukri,2024-09-16,September 2024,Q3 2024,Applied,0,0,Better candidate selected,,,10.2,12.9
1015,Operations,LinkedIn,2024-04-11,April 2024,Q2 2024,Interview Round 1,0,0,Withdrew,,,4.2,3.9
1016,Operations,LinkedIn,2024-07-04,July 2024,Q3 2024,Screened,0,0,Skills mismatch,,,1.5,12.5
1017,Engineering,Campus Drive,2024-02-05,February 2024,Q1 2024,Applied,0,0,Salary expectation,,,8.1,21.0
1018,Finance,Company Website,2024-03-25,March 2024,Q1 2024,Screened,0,0,Withdrew,,,9.2,16.3
1019,Sales,LinkedIn,2024-12-31,December 2024,Q4 2024,Hired,1,1,N/A,45.0,35.0,3.0,4.8
1020,Operations,Naukri,2024-11-19,November 2024,Q4 2024,Screened,0,0,Skills mismatch,,,6.4,8.7
1021,Engineering,Naukri,2024-09-05,September 2024,Q3 2024,Interview Round 1,0,0,Salary expectation,,,1.6,15.7
1022,Engineering,Campus Drive,2024-06-30,June 2024,Q2 2024,Screened,0,0,Skills mismatch,,,1.2,17.0
1023,Engineering,Employee Referral,2024-02-25,February 2024,Q1 2024,Hired,1,1,N/A,45.0,35.0,8.0,13.5
1024,Sales,Naukri,2024-01-08,January 2024,Q1 2024,Applied,0,0,Salary expectation,,,2.4,12.5
1025,Sales,LinkedIn,2024-04-19,April 2024,Q2 2024,Applied,0,0,Salary expectation,,,4.9,21.7
1026,Finance,Company Website,2024-05-15,May 2024,Q2 2024,Screened,0,0,No show,,,2.3,9.0
1027,Finance,Campus Drive,2024-01-30,January 2024,Q1 2024,Hired,1,1,N/A,50.0,46.0,1.3,19.4
1028,Operations,Campus Drive,2024-07-25,July 2024,Q3 2024,Applied,0,0,Withdrew,,,3.3,14.5
1029,Engineering,LinkedIn,2024-11-13,November 2024,Q4 2024,Hired,1,1,N/A,40.0,34.0,11.2,20.8
1030,Engineering,Naukri,2024-01-05,January 2024,Q1 2024,Applied,0,0,Withdrew,,,12.0,4.9
1031,Sales,LinkedIn,2024-04-19,April 2024,Q2 2024,Screened,0,0,Salary expectation,,,4.7,6.4
1032,Marketing,Naukri,2024-10-05,October 2024,Q4 2024,Applied,0,0,Withdrew,,,0.6,18.6
1033,Engineering,Naukri,2024-06-02,June 2024,Q2 2024,Applied,0,0,Salary expectation,,,3.5,20.0
1034,Engineering,Company Website,2024-10-10,October 2024,Q4 2024,Screened,0,0,Salary expectation,,,8.4,19.3
1035,Engineering,Instahyre,2024-09-15,September 2024,Q3 2024,Interview Round 1,0,0,Skills mismatch,,,0.5,17.8
1036,Marketing,LinkedIn,2024-11-22,November 2024,Q4 2024,Screened,0,0,No show,,,7.0,5.6
1037,Engineering,Company Website,2024-12-19,December 2024,Q4 2024,Screened,0,0,Salary expectation,,,5.4,4.3
1038,Operations,Employee Referral,2024-07-05,July 2024,Q3 2024,Applied,0,0,Salary expectation,,,8.3,15.8
1039,Marketing,LinkedIn,2024-06-30,June 2024,Q2 2024,Applied,0,0,No show,,,11.7,17.4
1040,Sales,LinkedIn,2024-05-01,May 2024,Q2 2024,Applied,0,0,Salary expectation,,,10.6,4.0
1041,HR,Employee Referral,2024-06-19,June 2024,Q2 2024,Applied,0,0,Salary expectation,,,3.6,18.1
1042,Sales,LinkedIn,2024-02-25,February 2024,Q1 2024,Applied,0,0,No show,,,3.1,18.6
1043,Sales,Naukri,2024-08-23,August 2024,Q3 2024,Interview Round 2,0,0,Better candidate selected,,,4.5,12.9
1044,Operations,Employee Referral,2024-12-13,December 2024,Q4 2024,Hired,1,1,N/A,39.0,32.0,11.8,5.6
1045,HR,Naukri,2024-10-22,October 2024,Q4 2024,Interview Round 1,0,0,Salary expectation,,,4.7,4.8
1046,Engineering,Employee Referral,2024-12-06,December 2024,Q4 2024,Screened,0,0,Better candidate selected,,,6.3,15.8
1047,Marketing,Employee Referral,2024-06-16,June 2024,Q2 2024,Hired,1,1,N/A,44.0,38.0,10.1,9.1
1048,Marketing,Naukri,2024-04-17,April 2024,Q2 2024,Applied,0,0,Withdrew,,,8.0,12.1
1049,Sales,Naukri,2024-08-14,August 2024,Q3 2024,Screened,0,0,Better candidate selected,,,6.4,15.2
1050,Engineering,LinkedIn,2024-06-20,June 2024,Q2 2024,Applied,0,0,Salary expectation,,,8.2,7.7
1051,Engineering,Employee Referral,2024-04-11,April 2024,Q2 2024,Screened,0,0,Withdrew,,,10.3,4.8
1052,Sales,Naukri,2024-07-31,July 2024,Q3 2024,Applied,0,0,No show,,,6.2,8.0
1053,HR,LinkedIn,2024-12-01,December 2024,Q4 2024,Applied,0,0,Skills mismatch,,,9.5,7.5
1054,Sales,Company Website,2024-12-22,December 2024,Q4 2024,Hired,1,1,N/A,51.0,42.0,8.8,12.8
1055,Engineering,LinkedIn,2024-10-07,October 2024,Q4 2024,Applied,0,0,No show,,,5.7,17.4
1056,Engineering,LinkedIn,2024-11-22,November 2024,Q4 2024,Applied,0,0,Withdrew,,,6.1,7.9
